age,marital.status,race,sex,income
0-50,Married,Amer-Indian-Eskimo,Female,>50K
0-50,Married,Amer-Indian-Eskimo,Female,>50K
0-50,Married,Amer-Indian-Eskimo,Female,<=50K
0-50,Married,Amer-Indian-Eskimo,Female,<=50K
0-50,Married,Amer-Indian-Eskimo,Female,<=50K
0-50,Married,Amer-Indian-Eskimo,Female,>50K
0-50,Married,Amer-Indian-Eskimo,Female,<=50K
0-50,Married,Amer-Indian-Eskimo,Female,>50K
0-50,Married,Amer-Indian-Eskimo,Female,>50K
0-50,Married,Amer-Indian-Eskimo,Female,<=50K
0-50,Married,Amer-Indian-Eskimo,Female,<=50K
0-50,Married,Amer-Indian-Eskimo,Female,<=50K
0-50,Married,Amer-Indian-Eskimo,Female,<=50K
0-50,Married,Amer-Indian-Eskimo,Female,<=50K
0-50,Married,Amer-Indian-Eskimo,Female,<=50K
0-50,Married,Amer-Indian-Eskimo,Female,<=50K
0-50,Married,Amer-Indian-Eskimo,Female,>50K
0-50,Married,Amer-Indian-Eskimo,Female,<=50K
0-50,Married,Amer-Indian-Eskimo,Female,<=50K
0-50,Married,Amer-Indian-Eskimo,Female,<=50K
0-50,Married,Amer-Indian-Eskimo,Female,<=50K
0-50,Married,Amer-Indian-Eskimo,Female,<=50K
50-100,Married,Amer-Indian-Eskimo,Female,<=50K
50-100,Married,Amer-Indian-Eskimo,Female,<=50K
50-100,Married,Amer-Indian-Eskimo,Female,>50K
50-100,Married,Amer-Indian-Eskimo,Female,>50K
0-50,Married,Amer-Indian-Eskimo,Male,>50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,>50K
0-50,Married,Amer-Indian-Eskimo,Male,>50K
0-50,Married,Amer-Indian-Eskimo,Male,>50K
0-50,Married,Amer-Indian-Eskimo,Male,>50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,>50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,>50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,>50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,>50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,>50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,>50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,>50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,>50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
0-50,Married,Amer-Indian-Eskimo,Male,<=50K
