age,marital.status,race,sex,income
0-100,Married,*,Female,>50K
0-100,Married,*,Female,<=50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,<=50K
0-100,Married,*,Female,<=50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,<=50K
0-100,Married,*,Female,<=50K
0-100,Married,*,Female,<=50K
0-100,Married,*,Female,<=50K
0-100,Married,*,Female,<=50K
0-100,Married,*,Female,<=50K
0-100,Married,*,Female,<=50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,<=50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,<=50K
0-100,Married,*,Female,<=50K
0-100,Married,*,Female,<=50K
0-100,Married,*,Female,<=50K
0-100,Married,*,Female,<=50K
0-100,Married,*,Female,<=50K
0-100,Married,*,Female,<=50K
0-100,Married,*,Female,<=50K
0-100,Married,*,Female,<=50K
0-100,Married,*,Female,<=50K
0-100,Married,*,Female,<=50K
0-100,Married,*,Female,<=50K
0-100,Married,*,Female,<=50K
0-100,Married,*,Female,<=50K
0-100,Married,*,Female,<=50K
0-100,Married,*,Female,<=50K
0-100,Married,*,Female,<=50K
0-100,Married,*,Female,<=50K
0-100,Married,*,Female,<=50K
0-100,Married,*,Female,<=50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,>50K
0-100,Married,*,Female,<=50K
0-100,Married,*,Female,<=50K
0-100,Married,*,Female,>50K
